Title,Origin/Ethnicity,Director,Cast,Genre,Keywords,Year Binned
Three Blind Mice,Australian,Matthew Newton,"Matthew Newton, Ewen Leslie, Toby Schmitz",comedy,"['sydney', 'sea', 'night', 'newton', 'dynamic', 'naval', 'toby', 'uneasy', 'leslie', 'iraq', 'laws', 'australian', 'emerge', 'matthew', 'dean']",2005s
Unfinished Sky,Australian,Peter Duncan,"William McInnes, Monic Hendrickx",drama,"['trafficking', 'brothel', 'farmer', 'trade', 'william', 'film', 'takes', 'human', 'sex', 'escapes', 'woman', 'story', '16', '150', '15']",2005s
$9.99,Australian,Tatia Rosenthal,"Geoffrey Rush
Joel Edgerton
Anthony LaPaglia
Claudia Karvan",animation drama,"['dave', 'meaning', '99', 'search', '28', 'advertisement', 'examine', 'fascinated', 'neighbours', 'sydney', 'mainly', 'prefers', 'employment', 'life', 'progresses']",2005s
Balibo,Australian,Robert Connolly,"Anthony LaPaglia
Oscar Isaac
Gyton Grantley
Damon Gameau",war,"['east', 'foreign', 'darwin', 'fearless', 'communicating', 'malcolm', 'contemporary', 'tribute', 'occupation', 'film', 'tune', 'stewart', '1999', 'reporters', 'techniques']",2005s
Beautiful,Australian,Dean O'Flaherty,"Deborra-Lee Furness
Erik Thomson
Peta Wilson
Tahyna Tozzi",drama,"['danny', 'suzy', 'alan', 'jennifer', 'max', 'hills', 'number', 'girls', 'house', 'mother', 'photos', 'bracelet', 'recognises', 'kidnapped', 'says']",2005s
Beautiful Kate,Australian,Rachel Ward,"Ben Mendelsohn
Bryan Brown
Maeve Dermody
Rachel Griffiths",drama,"['ned', 'kate', 'cliff', 'bruce', 'sally', 'sexual', 'dam', 'dance', 'relations', 'crashed', 'truth', 'leaves', 'memories', 'sister', 'home']",2005s
Blessed,Australian,Ana Kokkinos,"Miranda Otto
Deborra-Lee Furness
William McInnes
Tasma Walton",drama,"['youths', 'melbourne', 'centered', 'wander', 'mothers', 'await', 'streets', 'seven', 'lost', 'lives', 'return', 'night', 'film', 'home', '17']",2005s
"Boys Are Back, TheThe Boys Are Back",Australian,Scott Hicks,"Clive Owen
Laura Fraser
Emma Lung
Erik Thomson
Julia Blake",drama,"['joe', 'harry', 'katy', 'artie', 'australia', 'responsibilities', 'house', 'clive', 'feels', 'discipline', 'uk', 'owen', 'nicholas', 'basis', 'permanent']",2005s
Bright Star,Australian,Jane Campion,"Ben Whishaw
Abbie Cornish
Kerry Fox
Thomas Sangster",biography drama,"['fanny', 'brown', 'poet', 'italy', 'valentine', 'poetry', 'half', 'lessons', 'spring', 'winter', 'illness', 'summer', 'following', 'tom', 'pursue']",2005s
Cedar Boys,Australian,Sehat Caradee,"Rachael Taylor
Martin Henderson
Les Chantery
Daniel Amalm
Buddy Dannoun",drama,"['australian', 'drugs', 'les', 'jamal', 'sari', 'suburbs', 'cleaner', 'costs', 'buddy', 'sydney', 'cocaine', 'afford', 'western', 'mate', 'taylor']",2005s
Charlie & Boots,Australian,Dean Murphy,"Paul Hogan
Shane Jacobson
Roy Billing
Morgan Griffin",comedy,"['boots', 'charlie', 'gracie', 'jess', 'cape', 'tip', 'australia', 'tristan', 'pilot', 'famous', 'york', 'trip', 'fishing', 'passing', 'death']",2005s
Coffin Rock,Australian,Rupert Glasson,"Lisa Chappell
Robert Taylor
Sam Parsonson
Joseph Del Re",thriller,"['jessie', 'evan', 'rob', 'drifter', 'father', 'baby', 'kangaroo', 'pregnant', 'affections', 'consumed', 'clinic', 'spreads', 'dead', 'rescuing', 'crashing']",2005s
"Combination, TheThe Combination",Australian,David Field,"George Basha
Firass Dirani
Clare Bowen
Vaughn White",drama,"['john', 'charlie', 'sydney', 'zeus', 'stranger', 'scott', 'tom', 'boys', 'blossoms', 'boxing', 'gym', 'drug', 'australian', 'punches', 'fight']",2005s
Crush,Australian,John V. Soto,"Chris Egan
Emma Lung
Brooke Harman
Christian Clark",thriller,"['anna', 'clare', 'julian', 'stairs', 'martial', 'arts', 'house', 'university', 'falling', 'friction', 'seduced', 'opportunities', 'girlfriend', 'monstrous', 'realm']",2005s
 Disgrace,Australian,Steve Jacobs,"Eriq Ebouaney
John Malkovich
Jessica Haines
Antoinette Engel",drama,"['david', 'lucy', 'cape', 'farm', 'guilt', 'university', 'board', 'isaacs', 'melanie', 'harmony', 'literature', 'punish', 'beg', 'eastern', 'unnamed']",2005s
 Family Demons,Australian,Ursula Dabrowsky,"Cassandra Kane
Kerry Reid
Alex Rafalowicz
Tommy Darwin",horror,"['billie', 'sean', 'mother', 'chained', 'backyard', 'cries', 'house', 'runs', 'home', 'born', 'food', 'laundry', 'virtual', 'upbringing', 'outnumbered']",2005s
 Home of Strangers,Australian,Doan Nguyen,"Jimmy Huynh
Nicole Pritchard
Karen Truong
Laurent Boiteux",action,"['ben', 'vietnamese', 'lien', 'shoulders', 'reclaim', 'conflicts', 'individuals', 'genuine', 'strangers', 'gangs', 'paths', 'weight', 'zone', 'importance', 'unique']",2005s
 I.C.U.,Australian,Aash Aaron,"Margot Robbie
Aash Aaron
Ozzie Devrish
Christian Radford",thriller,"['william', 'troy', 'prostitutes', 'operating', 'filming', 'cameras', 'neighbors', 'killer', 'tristan', 'ex', 'apartment', 'person', 'ricky', 'hiring', 'pimp']",2005s
In Her Skin,Australian,Simone North,"Miranda Otto
Guy Pearce
Ruth Bradley
Sam Neill",thriller,"['caroline', 'rachel', 'barber', 'missing', 'elizabeth', 'comfort', 'police', 'persons', 'concern', 'david', 'family', 'disturbed', 'self', 'daughter', 'study']",2005s
Lucky Country,Australian,Kriv Stenders,"Aden Young
Toby Wallace
Hanna Mangan-Lawrence
Eamon Farren",drama,"['nat', 'tom', 'cabin', 'gold', 'federation', 'sanity', 'psychological', 'established', 'loyalty', 'australian', 'ultimate', 'year', 'dragged', 'beloved', 'edge']",2005s
 Mao's Last Dancer,Australian,Bruce Beresford,"Bruce Greenwood
Chi Cao
Kyle MacLachlan
Joan Chen",biography,"['li', 'ballet', 'chinese', 'houston', 'elizabeth', 'china', 'government', 'mao', 'teacher', 'performance', 'visit', 'madame', 'artistic', 'training', 'director']",2005s
Mary and Max,Australian,Adam Elliot,"Toni Collette
Eric Bana
Barry Humphries
Philip Seymour Hoffman
Bethany Whitmore",animation comedy,"['mary', 'max', 'damien', 'vera', 'package', 'letter', 'book', 'neighbour', 'sherry', 'noel', 'letters', 'write', 'chocolate', 'syndrome', 'couch']",2005s
 Offside,Australian,Gian Carlo Petraccaro,"Terry Rogers
Saxon Cordeaux
Ben Darsow
Natascha Dowsett",romance,"['charlie', 'cup', 'football', 'frank', 'team', 'soccer', 'katie', 'suburban', 'peter', 'boys', 'success', 'uncle', 'gardner', 'isabella', 'angelo']",2005s
 Prey,Australian,George T. Miller,"Natalie Bassingthwaighte
Jesse Johnson
Natalie Walker
Ben Kermode",horror,"['couples', 'desert', 'north', 'apart', 'aboriginal', '1989', '1987', 'consume', 'sacred', 'lured', 'closest', 'sand', 'vehicles', 'leadership', 'americans']",2005s
 Samson and Delilah,Australian,Warwick Thornton,"Rowan McNamara
Marissa Gibson
Scott Thornton
Matthew Gibson",drama,"['samson', 'petrol', 'community', 'grandmother', 'springs', 'stick', 'car', 'alice', 'bridge', 'band', 'interested', 'spends', 'beats', 'brother', 'eventually']",2005s
Stone Bros.,Australian,Richard Frankland,"Luke Carroll
Peter Phelps
Jai Courtney
Leon Burchill",comedy,"['eddie', 'charlie', 'australian', 'australia', 'stone', 'cousin', 'dreams', 'loses', 'aboriginal', 'ministers', 'straw', 'transgender', 'del', 'regina', 'cleaner']",2005s
Subdivision,Australian,Sue Brooks,"Ashley Bradnam
Gary Sweet
Brooke Satchwell
Aaron Fa'aoso",comedy,"['tiffany', 'brooke', 'developer', 'ashley', 'upside', 'bay', 'gary', 'southern', 'homes', 'kelly', 'sweet', 'comedy', 'focuses', 'executive', 'drama']",2005s
Tomboys,Australian,Nathan Hill,"Candice Day
Naomi Davis
Sash Milne
Allie Hall",horror,"['kat', 'barn', 'mates', 'repeated', 'afford', 'serial', 'matters', 'intended', 'provides', 'terms', 'assault', 'justice', 'friends', 'target', 'kidnap']",2005s
Van Diemen's Land,Australian,Jonathan auf der Heide,"Oscar Redding
Torquil Neilson
Tom Wright",thriller,"['hunger', 'group', 'scottish', 'landscape', 'wilderness', 'urban', 'settlement', 'irish', 'transported', 'meal', 'despair', 'fish', 'brutal', 'east', 'eating']",2005s
Animal Kingdom,Australian,David Michôd,"Ben Mendelsohn, Joel Edgerton, Guy Pearce",unknown,"['smurf', 'pope', 'darren', 'nicky', 'craig', 'cody', 'squad', 'house', 'robbery', 'police', 'armed', 'predicament', 'returns', 'safe', 'questioning']",2010s
Beneath Hill 60,Australian,Jeremy Sims,Brendan Cowell,drama,"['morris', 'tunnel', 'british', 'german', 'germans', 'mines', 'walter', 'australian', 'red', 'explosives', 'lines', 'unit', 'engineers', 'shaft', 'tunnels']",2010s
Blame,Australian,Michael Henry,"Kestie Morassi, Sophie Lowe, Simon Stone, Mark Winter, Damian de Montemas, Ashley Zukerman","drama, thriller","['bernard', 'alice', 'justice', 'group', 'damian', 'boyfriend', 'truth', 'dynamic', 'botched', 'tight', 'natalie', 'sixteen', 'ashley', 'sophie', 'persuaded']",2010s
Bran Nue Dae,Australian,Rachel Perkins,"Rocky McKenzie, Jessica Mauboy, Ernie Dingo, Missy Higgins, Geoffrey Rush,","comedy, musical","['willie', 'rosie', 'roxanne', 'lester', 'betty', 'annie', 'drive', 'stopping', 'police', 'van', 'beach', 'food', 'theresa', 'night', 'missy']",2010s
The Clinic,Australian,James Rabbitts,"Tabrett Bethell, Andy Whitfield",thriller,"['beth', 'baby', 'tag', 'cameron', 'mothers', 'child', 'mother', 'abdomen', 'babies', 'woman', 'biological', 'warehouse', 'motel', 'picked', 'facility']",2010s
Griff the Invisible,Australian,Leon Ford,"Ryan Kwanten, Maeve Dermody, Toby Schmitz, Heather Mitchell",comedy / drama,"['melody', 'tim', 'suit', 'invisible', 'superhero', 'imaginary', 'imagination', 'world', 'costume', 'door', 'tony', 'device', 'gets', 'room', 'camera']",2010s
I Love You Too,Australian,Daina Reid,"Brendan Cowell, Peter Dinklage, Yvonne Strahovski, Peter Helliar, Megan Gale",romantic comedy,"['jim', 'charlie', 'alice', 'francesca', 'letter', 'words', 'blake', 'commitment', 'express', 'peter', 'evening', 'gives', 'granny', 'gale', 'brendan']",2010s
Joffa: The Movie,Australian,Chris Liontos,Joffa Corfe,comedy,"['australian', 'ordinary', 'thousands', 'bob', 'said', 'mavis', 'hearing', 'fr', 'classic', 'shane', 'attracting', 'portrays', 'sung', 'guides', 'movie']",2010s
Lou,Australian,Belinda Chayko,"John Hurt, Emily Barclay, Lily Bell Tindley",drama,"['rhea', 'alzheimer', 'doyle', 'increased', 'benefits', 'merchant', 'stages', 'northern', 'raise', 'promise', 'survive', 'social', 'hurt', 'early', 'partner']",2010s
Oranges and Sunshine,Australian,Jim Loach,"Hugo Weaving, David Wenham, Emily Watson",drama,"['australia', 'margaret', 'children', 'congregation', 'labour', 'worldwide', 'scandal', 'forcibly', 'western', 'canada', 'christian', 'scheme', 'kingdom', 'promised', 'raped']",2010s
Red Hill,Australian,Patrick Hughes,"Ryan Kwanten, Steve Bisley, Tom E. Lewis, Claire van der Boom","thriller, western","['shane', 'jimmy', 'old', 'backup', 'hill', 'police', 'gun', 'town', 'red', 'wife', 'civilians', 'alice', 'revenge', 'duty', 'armed']",2010s
Road Train,Australian,Dean Francis,"Xavier Samuel, Bob Morley, Sophie Lowe, Georgina Haig",horror,"['nina', 'liz', 'craig', 'truck', 'trailer', 'marcus', 'cab', 'road', 'bush', 'red', 'driver', 'shack', 'gunshots', 'rear', 'screaming']",2010s
Then She Was Gone,Australian,Burleigh Smith,"Burleigh Smith, Sarah Louella","comedy, drama","['mia', 'ballet', 'spend', 'little', 'girlfriends', 'psychologist', 'tells', 'prefers', 'selfish', 'time', 'romantically', 'western', 'like', 'smith', 'australia']",2010s
"Tomorrow, When the War Began",Australian,Stuart Beattie,"Caitlin Stasey, Lincoln Lewis, Rachel Hurd-Wood, Chris Pang, Deniz Akdeniz, Andy Ryan, Phoebe Tonkin, Ashleigh Cummings",war,"['ellie', 'bridge', 'hell', 'tanker', 'group', 'lee', 'kevin', 'enemy', 'transmission', 'house', 'return', 'town', 'log', 'camping', 'country']",2010s
Wog Boy 2: The Kings of Mykonos,Australian,Nick Giannopoulos,"Vince Colosimo, Zeta Makripoulia, Costas Kilias, Alex Dimitriades, Kevin Sorbo",comedy,"['steve', 'zoe', 'beach', 'inheritance', 'tony', 'goat', 'coin', 'frank', 'tavern', 'called', 'rally', 'inherited', 'bet', 'italian', 'rare']",2010s
33 Postcards,Australian,Pauline Chan,Guy Pearce,drama,"['mei', 'dean', 'choir', 'australian', 'randall', 'sponsor', 'parole', 'entangled', 'lin', 'sydney', 'convict', 'supported', 'shocking', 'orphanage', '16']",2010s
Don't Be Afraid of the Dark,Australian,"Matthew Robbins, Guillermo del Toro","Guy Pearce, Katie Holmes, Bailee Madison",horror,"['creatures', 'sally', 'kim', 'blackwood', 'alex', 'basement', 'fireplace', 'lord', 'manor', 'teeth', 'ash', 'pit', 'harris', 'creature', 'tooth']",2010s
The Dragon Pearl,Australian,Mario Andreacchio,Sam Neill,family adventure,"['pearl', 'dragon', 'ling', 'josh', 'emperor', 'li', 'beneath', 'buried', 'neill', 'power', 'rightful', 'disbelief', 'sinister', 'philip', 'lin']",2010s
The Eye of the Storm,Australian,Fred Schepisi,"Judy Davis, Geoffrey Rush, Charlotte Rampling",drama,"['elizabeth', 'suburb', 'housekeeper', 'nurses', 'sydney', 'attended', 'davis', 'affairs', 'hunter', 'rush', 'adult', 'health', 'park', 'dying', 'control']",2010s
Face to Face,Australian,Michael Rymer,"Vince Colosimo, Luke Ford, Matthew Newton, Sigrid Thornton",drama,"['boss', 'laundry', 'face', 'dysfunctional', 'lifts', 'workplace', 'upside', 'dirty', 'mate', 'conference', 'confrontation', 'young', 'construction', 'fit', 'turning']",2010s
The Family Tree,Australian,Vivi Friedman,Christina Hendricks,comedy,"['harmony', 'dysfunctional', 'stricken', 'happiness', 'memory', 'loss', 'allows', 'chance', 'second', 'wife', 'mother', 'family', '150', '15', '14']",2010s
A Few Best Men,Australian,Stephan Elliott,"Laura Brent, Xavier Samuel",comedy,"['brent', 'marshall', 'sheep', 'le', 'bishop', 'rounds', 'mia', 'mobster', 'best', 'locking', 'samuel', 'havoc', 'australia', 'chased', 'week']",2010s
The Hunter,Australian,Daniel Nettheim,"Willem Dafoe, Sam Neill",drama,"['martin', 'tiger', 'lucy', 'leaf', 'armstrong', 'operative', 'jamie', 'red', 'mindy', 'bush', 'medication', 'traps', 'steel', 'katie', 'drawing']",2010s
Mad Bastards,Australian,Brendan Fletcher,unknown_cast,drama,"['bullet', 'aboriginal', 'thirteen', 'elders', 'juvenile', 'weakness', 'conscience', 'detention', 'lucas', 'greg', 'responsibilities', 'scores', 'anxious', 'habit', 'texas']",2010s
Red Dog,Australian,Kriv Stenders,"Rachael Taylor, Josh Lucas, Noah Taylor","family, adventure","['dog', 'red', 'nancy', 'john', 'iron', 'statue', 'caravan', 'thomas', 'town', 'cat', 'miners', 'men', 'park', 'bar', 'taylor']",2010s
Sleeping Beauty,Australian,Julia Leigh,Emily Browning,erotic drama,"['lucy', 'clara', 'bed', 'clients', 'sessions', 'larger', 'man', '16', 'women', 'client', 'mouth', '11', 'old', 'asleep', 'male']",2010s
Snowtown,Australian,Justin Kurzel,Daniel Henshall,crime,"['jamie', 'john', 'troy', 'barry', 'robert', 'gavin', 'dave', 'bank', 'vault', 'distressed', 'dislike', 'boyfriend', 'elizabeth', 'bodies', 'remains']",2010s
Toomelah,Australian,Ivan Sen,unknown_cast,drama,"['daniel', 'drug', 'generations', 'controlling', 'erupts', 'rivals', 'stab', 'school', 'forcibly', 'bruce', 'suspended', 'trade', 'removed', 'alcoholic', 'classmate']",2010s
The Tunnel,Australian,Carlo Ledesma,unknown_cast,horror,"['natasha', 'steven', 'creature', 'peter', 'camera', 'tunnels', 'crew', 'bell', 'audio', 'room', 'guard', 'tunnel', 'light', 'sound', 'lake']",2010s
X,Australian,Jon Hewitt,Viva Bianca,crime,"['holly', 'bennett', 'car', 'briefcase', 'sydney', 'customers', 'harry', 'cop', 'hanna', 'hotel', 'drive', 'bianca', 'away', 'phillips', 'seventeen']",2010s
 10 Terrorists,Australian,Dee McLachlan,"Jackie Diamond, Sachin Joab, Richard Cawthorne, Kendal Rae, Matt Hetherington",comedy,"['titled', 'compete', 'originally', 'terrorists', 'terrorist', 'challenges', 'million', '10', 'series', 'win', 'follows', 'wants', 'film', '17', '16']",2010s
100 Bloody Acres,Australian,"Colin Cairnes, Cameron Cairnes","Angus Sampson, Damon Herriman, Oliver Ackland, Anna McGahan","comedy, horror","['reg', 'lindsay', 'sophie', 'james', 'nancy', 'pair', 'truck', 'road', 'driver', 'keys', 'attraction', 'plant', 'soon', 'corpse', 'ride']",2010s
 Any Questions for Ben?,Australian,Rob Sitch,"Josh Lawson, Rachael Taylor, Daniel Henshall, Felicity Ward, Lachy Hulme, Ed Kavalee",comedy,"['ben', 'alexis', 'brand', 'manager', 'students', 'olympic', 'melbourne', '27', 'compared', 'high', 'careers', 'nations', 'directed', 'ed', 'josh']",2010s
 Bait 3D,Australian,Kimble Rendall,"Sharni Vinson, Phoebe Tonkin, Xavier Samuel, Julian McMahon, Cariba Heine, Lincoln Lewis",horror,"['shark', 'josh', 'ryan', 'doyle', 'supermarket', 'tina', 'rory', 'water', 'heather', 'kyle', 'hook', 'naomi', 'survivors', 'bait', 'bully']",2010s
Crawlspace,Australian,Justin Dix,"Eddie Baroo, Nicholas Bell, John Brumpton, Ditch Davey, Peta Sergeant","action, horror","['eve', 'romeo', 'caesar', 'matthews', 'team', 'scientists', 'prisoners', 'base', 'psychic', 'experiments', 'alien', 'forces', 'prisoner', 'accompany', 'split']",2010s
 Housos vs. Authority,Australian,Paul Fenech,"Elle Dawe, Jabba, Paul Fenech, Russell Gilbert, Alex Romano, Kev Taumata, Vanessa Davis",comedy,"['franky', 'vanessa', 'rink', 'explains', 'rock', 'riot', 'court', 'simon', 'run', 'judge', 'bikes', 'fired', 'illegal', 'stuff', 'act']",2010s
 Kath & Kimderella,Australian,Ted Emery,"Gina Riley, Jane Turner, Magda Szubanski, Glenn Robbins, Peter Rowsthorn, Rob Sitch, Barry Humphries, Alex Perry",comedy,"['kim', 'javier', 'sharon', 'brett', 'castle', 'townspeople', 'queen', 'wedding', 'royal', 'italy', 'holiday', 'revealed', 'marion', 'isabella', 'hair']",2010s
"King is Dead, TheThe King is Dead",Australian,Rolf de Heer,"Roman Vaculik, Michaela Cantwell, Lily Adey, Nathan Hoare, Kerry Ann Reid","comedy, thriller","['therese', 'max', 'king', 'smoothly', 'neighbourhood', 'gary', 'dan', 'dealer', 'suspect', 'unfortunately', 'strange', 'moved', 'trouble', 'drug', 'door']",2010s
 Last Dance,Australian,David Pulbrook,"Firass Dirani, Julia Blake, Alan Hopgood",thriller,"['melbourne', 'blake', 'julia', 'jewish', 'muslim', 'kidnaps', 'elderly', 'hostage', 'holds', 'woman', 'man', '15', '14', '13', '12']",2010s
 Mental,Australian,P. J. Hogan,"Toni Collette, Anthony LaPaglia, Rebecca Gibney, Lily Sullivan, Bethany Whitmore",comedy,"['trevor', 'barry', 'shark', 'institution', 'mental', 'girls', 'doris', 'exhibit', 'guitar', 'campaign', 'tank', 'launch', 'eat', 'daughters', 'aunt']",2010s
 Not Suitable for Children,Australian,Peter Templeman,"Ryan Kwanten, Sarah Snook, Ryan Corr, Bojana Novakovic",romantic comedy,"['jonah', 'stevie', 'gus', 'sperm', 'party', 'ava', 'room', 'becky', 'cancer', 'adoption', 'child', 'sex', 'asks', 'operation', 'suggests']",2010s
" Sapphires, TheThe Sapphires",Australian,Wayne Blair,"Chris O'Dowd, Deborah Mailman, Jessica Mauboy, Shari Sebbens",musical comedy,"['gail', 'dave', 'julie', 'cynthia', 'kay', 'talent', 'melbourne', 'vietnam', 'letter', 'audition', 'group', 'contest', 'australia', '10', 'white']",2010s
Satellite Boy,Australian,Catriona McKenzie,"David Gulpilil, Cameron Wallaby, Joseph Pedley, Rohanna Angus",drama,"['pete', 'grandfather', 'company', 'property', 'restaurant', 'wishes', 'angus', 'wisdom', 'trek', 'desolate', 'cameron', 'continually', 'appeal', 'storage', 'absent']",2010s
Save Your Legs!,Australian,Boyd Hicklin,"Damon Gameau, Stephen Curry, Brendan Cowell, Brenton Thwaites",comedy,"['cricket', 'ted', 'teddy', 'changing', 'tour', 'dream', 'india', 'realities', 'friendships', 'team', 'sachin', 'forced', 'extraordinary', 'remind', '35']",2010s
The Things My Father Never Taught Me,Australian,Burleigh Smith,"Burleigh Smith, Aiden Papamihail, Bridie Carter",comedy,"['melvin', 'disastrous', 'attractive', 'confidence', 'dress', 'teaches', 'mary', 'dating', 'skills', 'results', 'crowd', 'test', 'advice', 'single', 'spend']",2010s
 Thirst,Australian,Robert Carter,"Victoria Haralabidou, Myles Pollard, Hanna Mangan-Lawrence",drama,"['kit', 'zac', 'desert', 'mining', 'isolated', 'ways', 'mysterious', 'different', 'hut', 'holes', 'laughter', 'wise', 'digging', 'petrol', 'choices']",2010s
 Wish You Were Here,Australian,Kieran Darcy-Smith,"Joel Edgerton, Felicty Price, Teresa Palmer, Antony Starr",drama,"['dave', 'jeremy', 'men', 'alice', 'began', 'prostitute', 'went', 'tells', 'bar', 'happened', 'puzzle', 'vietnamese', 'restrained', 'gets', 'harassing']",2010s
 Absolute Deception,Australian,Brian Trenchard-Smith,"Cuba Gooding, Jr., Emmanuelle Vaugier",action thriller,"['web', 'uncover', 'shocking', 'deadly', 'widowed', 'fbi', 'deceased', 'reporter', 'informed', 'agent', 'murdered', 'join', 'forces', 'husband', 'just']",2010s
 Blinder,Australian,Richard Gray,"Oliver Ackland, Angus Sampson, Bobby Morley, Anna Hutchison, Rose McIver",drama,"['regan', 'team', 'scandal', 'players', 'rose', 'sammy', 'match', 'chang', 'clubs', 'finals', 'league', 'grand', 'coach', 'eve', 'america']",2010s
 Felony,Australian,Matthew Saville,"Jai Courtney, Melissa George, Joel Edgerton, Tom Wilkinson",thriller,"['mal', 'jim', 'carl', 'william', 'hospital', 'tells', 'responsible', 'julie', 'implying', 'victor', 'ambulance', 'secret', 'clean', 'arrive', 'boy']",2010s
 Goddess,Australian,Mark Lamprell,"Ronan Keating, Magda Szubanski, Laura Michelle Kelly, Hugo Johnstone-Burt","romance, comedy","['sensation', 'fame', 'dickens', 'ronan', 'levi', 'farmhouse', 'phoenix', 'goddess', 'funny', 'sink', 'lifetime', 'laura', 'michelle', 'kelly', 'songs']",2010s
 Love of My Life,Australian,Michael Budd,"Peter O'Brien, Diarmid Heidenreich, Michael Budd",horror,"['julius', 'follows', 'orange', 'deranged', 'film', 'strapped', 'surgeon', 'backs', 'sydney', 'stages', 'flash', 'intense', 'survival', 'mysteriously', 'torture']",2010s
Mystery Road,Australian,Ivan Sen,"Aaron Pedersen, Ryan Kwanten, Tasma Walton, Hugo Weaving, Robert Mammone, Tony Barry",thriller,"['jay', 'pete', 'julie', 'wayne', 'truck', 'aboriginal', 'hunting', 'crystal', 'sam', 'rover', 'smith', 'orange', 'heroin', 'car', 'rifle']",2010s
 Patrick,Australian,Mark Hartley,"Sharni Vinson, Rachel Griffiths, Charles Dance, Peta Sergeant",drama,"['kathy', 'patrick', 'nurse', 'cassidy', 'responding', 'comatose', 'interfere', 'psychic', 'pleased', 'intrigued', 'experiments', 'clinic', 'psychiatric', 'eager', 'jackson']",2010s
" Railway Man, TheThe Railway Man",Australian,Jonathan Teplitzky,"Nicole Kidman, Colin Firth Jeremy Irvine, Stellan Skarsgård",drama,"['japanese', 'war', 'british', 'pows', 'patricia', 'camp', 'finally', 'thailand', 'eric', 'torture', 'tortured', 'experiences', 'peace', 'military', 'fellow']",2010s
Red Obsession,Australian,David Roach,Includes interview with winemakers from around the world,documentary,"['wine', 'interviewed', 'narration', 'russell', 'provided', 'obsession', 'industry', 'china', 'lovers', 'audience', 'red', 'journey', 'takes', '16', '150']",2010s
Return to Nim's Island,Australian,Brendan Maher,"Matthew Lillard, John Waters, Bindi Irwin","adventure, fantasy","['island', 'edmund', 'irwin', 'toby', 'wallace', 'pirate', 'mainland', 'matthew', 'gotten', 'resort', 'permission', 'challenge', 'inadvertently', 'develop', 'bringing']",2010s
"Rocket, TheThe Rocket",Australian,Kim Mordaunt,"Sitthiphon Disamoe, Loungnam Kaosainam, Suthep Po-ngam",drama,"['rocket', 'purple', 'bat', 'twin', 'electricity', 'cursed', 'contest', 'launch', 'clouds', 'build', 'village', 'cave', 'woods', 'powder', 'boat']",2010s
 Tracks,Australian,John Curran,Mia Wasikowska,drama,"['springs', 'rick', 'australian', 'miles', 'alice', 'documents', 'photographer', 'ocean', 'national', 'indian', 'dog', 'travels', 'journey', '150', '15']",2010s
These Final Hours,Australian,Zak Hilditch,"Nathan Phillips, Angourie Rice, Jessica De Gouw",apocalyptic thriller,"['james', 'rose', 'vicki', 'freddy', 'zoe', 'party', 'bunker', 'leave', 'petrol', 'wishing', 'house', 'woman', 'news', 'outside', 'aunt']",2010s
Two Mothers,Australian,Anne Fontaine,"Naomi Watts, Robin Wright, Ben Mendelsohn, Xavier Samuel, Jessica Tovey",drama,"['roz', 'ian', 'lil', 'tom', 'harold', 'hannah', 'mary', 'sydney', 'affairs', 'sex', 'dock', 'agree', 'wives', 'swim', 'tells']",2010s
52 Tuesdays,Australian,Sophie Hyde,"Tilda Cobham-Hervey, Del Herbert-Jane, Mario Späte, Beau Travis Williams",drama,"['billie', 'james', 'tom', 'jasmine', 'jane', 'josh', 'harry', '00', '16', 'starting', 'destroys', 'year', 'contact', 'pornography', 'disapproval']",2010s
"Babadook, TheThe Babadook",Australian,Jennifer Kent,"Essie Davis, Noah Wieseman, Daniel Henshall, Barbara West, Benjamin Winspear",horror,"['amelia', 'sam', 'basement', 'samuel', 'book', 'vision', 'weapons', 'bowl', 'beast', 'pop', 'terrified', 'monster', 'behaviour', 'existence', 'places']",2010s
Fat Pizza vs. Housos,Australian,Paul Fenech,"Elle Dawe, Jabba, Tahir Bilgiç, Angry Anderson",comedy,"['franky', 'suburb', 'pizza', 'television', 'bobo', 'chainsaw', 'segment', 'mama', 'business', 'establishment', 'assaulting', 'housing', 'fat', 'hunters', 'infamous']",2010s
Healing,Australian,Craig Monahan,"Hugo Weaving, Robert Taylor, Xavier Samuel, Justin Clarke, Laura Brent",drama,"['viktor', 'matt', 'case', 'eagle', 'reformed', 'perry', 'individuals', 'environment', 'odds', 'established', 'named', 'farm', 'sentenced', 'responsibility', 'program']",2010s
Kill Me Three Times,Australian,Kriv Stenders,"Simon Pegg, Luke Hemsworth, Callan Mulvey",action thriller,"['charlie', 'alice', 'nathan', 'jack', 'lucy', 'dylan', 'money', 'appointment', 'bruce', 'insurance', 'collect', 'sneaks', 'dentist', 'safe', 'fraud']",2010s
"Mule, TheThe Mule",Australian,Angus Sampson,"Hugo Weaving, Angus Sampson, Leigh Whannell, Ewen Leslie",drama,"['ray', 'gavin', 'pat', 'paris', 'heroin', 'police', 'john', 'hotel', 'guard', 'judy', 'television', 'drugs', 'transport', 'room', 'thai']",2010s
My Mistress,Australian,Stephen Lance,"Emmanuelle Beart, Harrison Gilbertson, Rachel Blake, Socratis Otto",drama,"['sixteen', 'solace', 'distraught', 'pain', 'arms', 'searching', 'ways', 'mysterious', 'suicide', 'boy', 'turns', 'discovers', 'woman', 'year', 'old']",2010s
